ID,所属游戏,标题,别名,编码,所属期数,第一張卡url,最後一張卡url,備註,如何找尋卡片 url ?,
,1,2019聖誕黃金禮盒,LGB1,LGB1,-1,https://www.cardrush.jp/phone/product/37318,https://www.cardrush.jp/phone/product/37365,,1. 先網路上搜尋此系列的開始卡號 & 結束卡號,
,1,2021聖誕銀密閃盒,SSB1,SSB1,-1,https://www.cardrush.jp/phone/product/54003,https://www.cardrush.jp/phone/product/54075,,2. 去 card rush 中在 url 使用 key_word=卡號快速定位到最後一張卡,https://www.cardrush.jp/phone/product-list/0/0/photo?keyword=20th-jpb&num=100&img=120&order=desc&page=1
,1,2022聖誕祕鑽百寶盒,SUB1,SUB1,-1,https://www.cardrush.jp/phone/product/61707,https://www.cardrush.jp/phone/product/61810,,,
,1,2022聖誕銀密閃盒第二彈,DR02,DR02,-1,https://www.cardrush.jp/phone/product/56644,https://www.cardrush.jp/phone/product/56768,這彈有問題 沒圖,,
,1,20週年紀念決鬥者禮盒,20TH-JPB,20TH-JPB,-1,https://www.cardrush.jp/phone/product/26026,https://www.cardrush.jp/phone/product/26067,,3. 比較此卡號的卡片 url 後面的數字 連號的 最小(大)，填入欄位,
,1,20週年紀念傳說收藏包,20TH-JPC,20TH-JPC,-1,https://www.cardrush.jp/phone/product/27746,https://www.cardrush.jp/phone/product/27945,,例如：以 LBG1-JP040 為例。我們要填入的是 https://www.cardrush.jp/phone/product/37357,
,1,25週年海馬手提箱禮盒,KC01,KC01,-1,https://www.cardrush.jp/phone/product/56816,https://www.cardrush.jp/phone/product/56876,,因為這是連號中的最後一號。（另外兩張的編號是card rush 後補上的卡片，我們不要）,
,1,PP大會包,19PP,19PP,-1,https://www.cardrush.jp/phone/product/25966,https://www.cardrush.jp/phone/product/26025,,,
,1,PP大會包,20PP,20PP,-1,https://www.cardrush.jp/phone/product/37392,https://www.cardrush.jp/phone/product/37451,,,
,1,PP大會包,21PP,21PP,-1,https://www.cardrush.jp/phone/product/46852,https://www.cardrush.jp/phone/product/46915,,,
,1,PP大會包,22PP,22PP,-1,https://www.cardrush.jp/phone/product/53924,https://www.cardrush.jp/phone/product/53989,,,
,1,PP大會包,23PP,23PP,-1,https://www.cardrush.jp/phone/product/61489,https://www.cardrush.jp/phone/product/61612,,,
,1,PP大會包,PP1,PP1,-1,沒找到,沒找到,沒找到,,
,1,PP大會包,PP10,PP10,-1,沒找到,沒找到,沒找到,,
,1,PP大會包,PP11,PP11,-1,https://www.cardrush.jp/phone/product/3838,無法,只有一張卡,,
,1,PP大會包,PP12,PP12,-1,https://www.cardrush.jp/phone/product/8749,無法,只有一張卡,,
,1,PP大會包,PP13,PP13,-1,https://www.cardrush.jp/phone/product/19717,無法,跨號超遠,,
,1,PP大會包,PP14,PP14,-1,https://www.cardrush.jp/phone/product/1995,無法,只有兩張卡,,
,1,PP大會包,PP15,PP15,-1,,無法,跨號超遠,,
,1,PP大會包,PP16,PP16,-1,https://www.cardrush.jp/phone/product/29027,https://www.cardrush.jp/phone/product/29029,只有兩張卡,,
,1,PP大會包,PP17,PP17,-1,跨號超遠,跨號超遠,跨號超遠,,
,1,PP大會包,PP18,PP18,-1,跨號超遠,跨號超遠,,,
,1,PP大會包,PP19,PP19,-1,跨號超遠,跨號超遠,,,
,1,PP大會包,PP2,PP2,-1,沒找到,沒找到,沒找到,,
,1,PP大會包,PP20,PP20,-1,https://www.cardrush.jp/phone/product/19517,https://www.cardrush.jp/phone/product/19551,34,,
,1,PP大會包,PP3,PP3,-1,沒找到,沒找到,沒找到,,
,1,PP大會包,PP4,PP4,-1,沒找到,沒找到,沒找到,,
,1,PP大會包,PP5,PP5,-1,沒找到,沒找到,沒找到,,
,1,PP大會包,PP6,PP6,-1,沒找到,沒找到,沒找到,,
,1,PP大會包,PP7,PP7,-1,沒找到,沒找到,沒找到,,
,1,PP大會包,PP8,PP8,-1,沒找到,沒找到,沒找到,,
,1,PP大會包,PP9,PP9,-1,沒找到,沒找到,沒找到,,
,1,十週年紀念包,YAP1,YAP1,-1,跨號超遠,跨號超遠,跨號超遠,,
,1,機甲指令,SD18,SD18,-1,跨號超遠,跨號超遠,跨號超遠,,
,1,惡魔之門,SD21,SD21,-1,跨號超遠,跨號超遠,跨號超遠,,
,1,龍之軍團改版,SD22,SD22,-1,跨號超遠,跨號超遠,跨號超遠,,
,1,海皇咆哮改版,SD23,SD23,-1,跨號超遠,跨號超遠,跨號超遠,,
,1,炎王急襲改版,SD24,SD24,-1,跨號超遠,跨號超遠,跨號超遠,,
,1,青眼龍轟臨,SD25,SD25,-1,跨號超遠,跨號超遠,跨號超遠,,
,1,決鬥始動組,ST14,ST14,-1,跨號超遠,跨號超遠,跨號超遠,,
,1,中文補充包-決鬥者歸來REDU-TC,801,801,-1,沒找到,沒找到,沒找到,,
,1,中文補充包-深淵昇華ABYR-TC,802,802,-1,沒找到,沒找到,沒找到,,
,1,中文補充包-炎星戰士CBLZ-TC,803,803,-1,沒找到,沒找到,沒找到,,
,1,中文補充包-銀河帝王LTGY-TC,804,804,-1,沒找到,沒找到,沒找到,,
,1,中文補充包-黃金包 2014,GS06,GS06,-1,沒找到,沒找到,沒找到,,
,1,中文補充包-決鬥始動包1,SP01,SP01,-1,沒找到,沒找到,沒找到,,
,1,中文補充包-決鬥始動包2,SP02,SP02,-1,沒找到,沒找到,沒找到,,
,1,中文補充包-決鬥始動包3,SP03,SP03,-1,沒找到,沒找到,沒找到,,
,1,決鬥王的記憶禮盒15週年第一彈,15AY-JPA,15AY-JPA,-1,跨越超遠,跨越超遠,跨越超遠,,
,1,決鬥王的記憶禮盒15週年第二彈,15AY-JPB,15AY-JPB,-1,跨越超遠,跨越超遠,跨越超遠,,
,1,決鬥王的記憶禮盒15週年第三彈,15AY-JPC,15AY-JPC,-1,跨越超遠,跨越超遠,跨越超遠,,
,1,決鬥箱2012同捆,DB12,DB12,-1,跨越超遠,跨越超遠,跨越超遠,,
,1,次元盒限量版禮盒,DBLE,DBLE,-1,跨越超遠,跨越超遠,跨越超遠,,
,1,黑暗回歸禮盒,DS13-JPD,DS13-JPD,-1,跨越超遠,跨越超遠,跨越超遠,,
,1,閃電之星禮盒,DS13-JPL,DS13-JPL,-1,跨越超遠,跨越超遠,跨越超遠,,
,1,光之領主裁決版禮盒,DS14-JPL,DS14-JPL,-1,跨越超遠,跨越超遠,跨越超遠,,
,1,機器齒輪騎兵版禮盒,DS14-JPM,DS14-JPM,-1,跨越超遠,跨越超遠,跨越超遠,,
,1,城之內篇VOL1,JY,JY,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,海馬篇VOL1,KA,KA,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,千年盒黃金版禮盒,MB01,MB01,-1,跨越超遠,跨越超遠,跨越超遠,,
,1,貝卡斯,PE,PE,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,恐龍的鼓動,SD09,SD09,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,龍魂之力,SD1,SD1,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,機械的叛亂,SD10,SD10,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,閃光波動,SD11,SD11,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,暗黑的咒縛,SD12,SD12,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,巨龍的復活,SD13,SD13,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,帝王的降臨,SD14,SD14,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,不死的世界,SD15,SD15,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,魔術師的霸者,SD16,SD16,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,戰士的強擊,SD17,SD17,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,機甲指令,SD18,SD18,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,龍盟驅動,SD19,SD19,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,不死的威脅,SD2,SD2,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,失落的聖域,SD20,SD20,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,惡魔之門,SD21,SD21,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,龍之軍勢,SD22,SD22,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,海皇的咆哮,SD23,SD23,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,炎王的急襲,SD24,SD24,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,青眼龍轟臨,SD25,SD25,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,機光龍襲雷,SD26,SD26,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,英雄駕到,SD27,SD27,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,英雄駕到亞洲版,SD27,SD27,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,究極同步,SD28,SD28,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,擺動大師,SD29,SD29,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,灼熱的大地,SD3,SD3,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,擺動支配,SD30,SD30,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,擺動進化,SD31,SD31,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,電子界連結,SD32,SD32,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,電源碼連結,SD33,SD33,-1,https://www.cardrush.jp/phone/product/19485,https://www.cardrush.jp/phone/product/19508,只有23張,,
,1,大師連結,SD34,SD34,-1,https://www.cardrush.jp/phone/product/20436,https://www.cardrush.jp/phone/product/20490,,,
,1,焚魂烈火,SD35,SD35,-1,https://www.cardrush.jp/phone/product/25867,https://www.cardrush.jp/phone/product/25913,,,
,1,Revolver,SD36,SD36,-1,https://www.cardrush.jp/phone/product/29327,https://www.cardrush.jp/phone/product/29374,,,
,1,反轉之影依,SD37,SD37,-1,https://www.cardrush.jp/phone/product/31222,https://www.cardrush.jp/phone/product/31275,,,
,1,混沌之三幻魔,SD38,SD38,-1,https://www.cardrush.jp/phone/product/38411,https://www.cardrush.jp/phone/product/38463,,,
,1,使精靈術的高手,SD39,SD39,-1,https://www.cardrush.jp/phone/product/43885,https://www.cardrush.jp/phone/product/43943,,,
,1,海龍神的憤怒,SD4,SD4,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,凍獄的冰結界,SD40,SD40,-1,https://www.cardrush.jp/phone/product/46061,https://www.cardrush.jp/phone/product/46115,,,
,1,電子流的後繼者,SD41,SD41,-1,https://www.cardrush.jp/phone/product/49263,https://www.cardrush.jp/phone/product/49315,,,
,1,疊放宇宙,SD42,SD42,-1,https://www.cardrush.jp/phone/product/51261,https://www.cardrush.jp/phone/product/51315,,,
,1,白熱衝突,SD43,SD43,-1,https://www.cardrush.jp/phone/product/53291,https://www.cardrush.jp/phone/product/53346,,,
,1,寶玉的傳說,SD44,SD44,-1,https://www.cardrush.jp/phone/product/57476,https://www.cardrush.jp/phone/product/57529,,,
,1,蟲惑魔之森,SD45,SD45,-1,https://www.cardrush.jp/phone/product/61389,https://www.cardrush.jp/phone/product/61441,,,
,1,王者的鼓動,SD46,SD46,-1,https://www.cardrush.jp/phone/product/70477,https://www.cardrush.jp/phone/product/70531,,,
,1,戰士的傳說,SD5,SD5,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,魔法使的制裁,SD6,SD6,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,守護神的堡壘,SD7,SD7,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,烈風的霸者,SD8,SD8,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,海馬瀬人,SDKS,SDKS,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,馬力克,SDM,SDM,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,武藤遊戲,SDMY,SDMY,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,城之內2,SJ2,SJ2,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,海馬2,SK2,SK2,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,起始牌組R真帝王降臨,SR01,SR01,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,起始牌組R巨神龍復活,SR02,SR02,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,起始牌組R機械龍叛亂,SR03,SR03,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,起始牌組R恐獸的鼓動,SR04,SR04,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,起始牌組R神光的波動,SR05,SR05,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,起始牌組R闇黑的咒縛,SR06,SR06,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,起始牌組R不死世界,SR07,SR07,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,起始牌組R魔術師領主,SR08,SR08,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,起始牌組R戰士強襲,SR09,SR09,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,起始牌組R機甲指令,SR10,SR10,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,起始牌組R龍盟驅動,SR11,SR11,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,起始牌組R失落聖域,SR12,SR12,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,惡魔之門,SR13,SR13,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,炎王的急襲,SR14,SR14,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,起始套牌2012,ST12,ST12,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,起始套牌2013,ST13,ST13,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,起始套牌2013,ST13,ST13,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,起始套牌2014,ST14,ST14,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,起始套牌2016,ST16,ST16,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,起始套牌2017,ST17,ST17,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,起始套牌2018,ST18,ST18,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,起始套牌2019,ST19,ST19,-1,https://www.cardrush.jp/phone/product/28391,https://www.cardrush.jp/phone/product/28425,只有34張,,
,1,遊戲篇2,SY2,SY2,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,決鬥入門牌組VS,VS15,VS15,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,起始套牌2006,YSD,YSD,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,起始套牌2007,YSD2,YSD2,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,起始套牌2008,YSD3,YSD3,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,起始套牌2009,YSD4,YSD4,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,起始套牌2010,YSD5,YSD5,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,起始套牌2011,YSD6,YSD6,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,遊戲篇VOL1,YU,YU,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,決鬥者代碼,COTD,1001,10,跨越太大,跨越太大,跨越太大,,
,1,迴路破解,CIBR,1002,10,跨越太大,跨越太大,跨越太大,,
,1,極限之力,EXFO,1003,10,跨越太大,跨越太大,跨越太大,,
,1,破滅之火,FLOD,1004,10,https://www.cardrush.jp/phone/product/19632,https://www.cardrush.jp/phone/product/19657,只有25張,,
,1,電子科技地平線,CYHO,1005,10,https://www.cardrush.jp/phone/product/27716,https://www.cardrush.jp/phone/product/27717,只有兩張,,
,1,靈魂融合,SOFU,1006,10,https://www.cardrush.jp/phone/product/24895,https://www.cardrush.jp/phone/product/25013,118,,
,1,猛烈強擊,SAST,1007,10,https://www.cardrush.jp/phone/product/25442,https://www.cardrush.jp/phone/product/25545,103,,
,1,黑暗新風暴,DANE,1008,10,https://www.cardrush.jp/phone/product/27544,https://www.cardrush.jp/phone/product/27662,118,,
,1,遽升衝突,RIRA,1009,10,https://www.cardrush.jp/phone/product/28641,https://www.cardrush.jp/phone/product/28749,108,,
,1,混沌衝擊,CHIM,1010,10,https://www.cardrush.jp/phone/product/29527,https://www.cardrush.jp/phone/product/29645,118,,
,1,點火強襲,IGAS,1011,10,https://www.cardrush.jp/phone/product/30577,https://www.cardrush.jp/phone/product/30695,118,,
,1,永恆代碼,ETCO,1012,10,https://www.cardrush.jp/phone/product/37509,https://www.cardrush.jp/phone/product/37627,118,,
,1,決鬥者崛起,ROTD,1101,11,https://www.cardrush.jp/phone/product/39300,https://www.cardrush.jp/phone/product/39426,126,,
,1,幻影之怒,PHRA,1102,11,https://www.cardrush.jp/phone/product/44089,https://www.cardrush.jp/phone/product/44214,125,,
,1,烈焰漩渦,BLVO,1103,11,https://www.cardrush.jp/phone/product/45431,https://www.cardrush.jp/phone/product/45559,128,,
,1,電光超載,LIOV,1104,11,https://www.cardrush.jp/phone/product/47395,https://www.cardrush.jp/phone/product/47520,125,,
,1,皇權破曉,DAMA,1105,11,https://www.cardrush.jp/phone/product/48774,https://www.cardrush.jp/phone/product/48899,125,,
,1,命運擊發,BODE,1106,11,https://www.cardrush.jp/phone/product/51428,https://www.cardrush.jp/phone/product/51553,125,,
,1,混沌激戰,BACH,1107,11,https://www.cardrush.jp/phone/product/52791,https://www.cardrush.jp/phone/product/52918,124,,
